fund_id,open,high,low,close,average,weighted_average,base_volume,traded_volume,interval_starts_at,interval_ends_at
BTCEUR,38421.24,38504.58,38284.83,38400.0,38398.26276,38419.22036,1367.72418,0.0356,2022-02-10T04:00:00.000Z,2022-02-10T05:00:00.000Z
BTCEUR,38420.26,38532.44,38354.0,38532.44,38448.72822,38465.00662,1003.93662,0.0261,2022-02-10T05:00:00.000Z,2022-02-10T06:00:00.000Z
BTCEUR,38514.27,38598.6,38429.0,38533.87,38517.67,38521.13167,1702.63396,0.0442,2022-02-10T06:00:00.000Z,2022-02-10T07:00:00.000Z
BTCEUR,38533.87,38625.0,38533.87,38625.0,38589.20166,38574.66922,1689.5705,0.0438,2022-02-10T07:00:00.000Z,2022-02-10T08:00:00.000Z
BTCEUR,38625.0,38800.0,38625.0,38799.99,38720.62316,38713.52319,2117.6297,0.0547,2022-02-10T08:00:00.000Z,2022-02-10T09:00:00.000Z
BTCEUR,38785.67,38935.39,38679.0,38882.04,38838.36928,38871.38229,1881.37488,0.0484,2022-02-10T09:00:00.000Z,2022-02-10T10:00:00.000Z
BTCEUR,38882.04,39198.1,38882.04,39103.9,39050.34875,39138.24832,5815.94366,0.1486,2022-02-10T10:00:00.000Z,2022-02-10T11:00:00.000Z
BTCEUR,39125.0,39450.0,39079.0,39234.8,39289.48336,39366.14935,42590.23694,1.0819,2022-02-10T11:00:00.000Z,2022-02-10T12:00:00.000Z
BTCEUR,39234.8,39450.0,39092.9,39225.0,39222.02954,39201.76478,9118.33044,0.2326,2022-02-10T12:00:00.000Z,2022-02-10T13:00:00.000Z
BTCEUR,39225.0,39425.98,38255.88,38380.68,38748.83571,38711.08581,44947.44167,1.1611,2022-02-10T13:00:00.000Z,2022-02-10T14:00:00.000Z
BTCEUR,38247.81,38796.77,37974.02,38796.77,38259.37598,38184.22224,34144.33143,0.8942,2022-02-10T14:00:00.000Z,2022-02-10T15:00:00.000Z
BTCEUR,38800.0,39793.71,38800.0,39185.24,39395.85636,39454.73119,73638.31024,1.8664,2022-02-10T15:00:00.000Z,2022-02-10T16:00:00.000Z
BTCEUR,39185.24,39520.83,39163.61,39520.83,39397.88115,39397.31836,7855.8252,0.1994,2022-02-10T16:00:00.000Z,2022-02-10T17:00:00.000Z
BTCEUR,39520.83,39857.77,39479.0,39675.99,39655.39735,39648.15483,15879.08595,0.4005,2022-02-10T17:00:00.000Z,2022-02-10T18:00:00.000Z
BTCEUR,39675.99,39675.99,39227.42,39350.56,39409.00374,39395.11674,17227.48451,0.4373,2022-02-10T18:00:00.000Z,2022-02-10T19:00:00.000Z
BTCEUR,39425.0,39475.0,38744.89,38825.0,39086.11803,39024.1405,24472.03845,0.6271,2022-02-10T19:00:00.000Z,2022-02-10T20:00:00.000Z
BTCEUR,38825.0,39024.27,38420.13,38650.0,38665.64899,38603.39809,16074.45489,0.4164,2022-02-10T20:00:00.000Z,2022-02-10T21:00:00.000Z
BTCEUR,38650.0,38738.89,38345.55,38345.55,38559.24687,38574.24962,9311.82382,0.2414,2022-02-10T21:00:00.000Z,2022-02-10T22:00:00.000Z
BTCEUR,38345.55,38598.96,38284.83,38429.0,38446.70256,38429.62093,2659.32972,0.0692,2022-02-10T22:00:00.000Z,2022-02-10T23:00:00.000Z
BTCEUR,38429.0,38617.97,38017.9,38125.0,38314.35132,38207.75884,27096.94255,0.7092,2022-02-10T23:00:00.000Z,2022-02-11T00:00:00.000Z
BTCEUR,38125.0,38125.0,37524.3,37775.0,37769.34765,37816.90376,94549.82274,2.5002,2022-02-11T00:00:00.000Z,2022-02-11T01:00:00.000Z
BTCEUR,37775.0,38384.89,37775.0,37803.58,38134.94939,38176.86064,20520.06253,0.5375,2022-02-11T01:00:00.000Z,2022-02-11T02:00:00.000Z
BTCEUR,37803.58,37886.58,37642.73,37825.0,37741.54037,37794.47374,1666.73627,0.0441,2022-02-11T02:00:00.000Z,2022-02-11T03:00:00.000Z
BTCEUR,37825.0,38076.19,37825.0,38076.19,37960.94666,37974.93397,1135.45048,0.0299,2022-02-11T03:00:00.000Z,2022-02-11T04:00:00.000Z
BTCEUR,38076.19,38076.19,37820.49,37820.49,37921.8828,38024.40376,4825.29683,0.1269,2022-02-11T04:00:00.000Z,2022-02-11T05:00:00.000Z
BTCEUR,37820.49,37825.0,37704.0,37704.0,37767.79838,37755.56632,513.47569,0.0136,2022-02-11T05:00:00.000Z,2022-02-11T06:00:00.000Z
BTCEUR,37681.17,38070.79,37681.17,38068.22,37947.75929,38050.37207,40862.29452,1.0739,2022-02-11T06:00:00.000Z,2022-02-11T07:00:00.000Z
BTCEUR,38050.67,38103.58,38000.0,38103.58,38040.12575,38001.44597,58203.01463,1.5316,2022-02-11T07:00:00.000Z,2022-02-11T08:00:00.000Z
BTCEUR,38103.58,38241.7,37825.27,37825.27,38105.31731,38142.68882,24705.01951,0.6477,2022-02-11T08:00:00.000Z,2022-02-11T09:00:00.000Z
BTCEUR,37825.27,38342.49,37727.68,38305.2,38122.6817,38260.02798,42740.27722,1.1171,2022-02-11T09:00:00.000Z,2022-02-11T10:00:00.000Z
BTCEUR,38305.2,38329.06,38079.0,38250.0,38210.79483,38259.08563,75171.4514,1.9648,2022-02-11T10:00:00.000Z,2022-02-11T11:00:00.000Z
